,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,duration
221,Disc One,The Jacksons,The Very Best Of The Jacksons,Epic,2004,Producer,"Pop, Funk / Soul, Electronic",CD,Argentina,2-516366,True,
222,Disc Two,The Jacksons,The Very Best Of The Jacksons,Epic,2004,Producer,"Pop, Funk / Soul, Electronic",CD,Argentina,2-516366,True,
223,Heartbreak Hotel,"The Jackson 5, The Jacksons, Michael Jackson",The Very Best Of The Jacksons,Sony Music TV,2004,Producer,"Pop, Funk / Soul, Electronic",CD,UK,none,True,5:43
224,Abc,The Jacksons,The Very Best Of The Jacksons,"Sony Music, Epic, Universal Music TV",0,,"Funk / Soul, Pop",CD,UK,5163669,False,
225,...,The Jacksons,The Very Best Of The Jacksons,"Sony Music, Epic, Universal Music TV",0,,"Funk / Soul, Pop",CD,UK,5163669,False,
226,Etc...,The Jacksons,The Very Best Of The Jacksons,"Sony Music, Epic, Universal Music TV",0,,"Funk / Soul, Pop",CD,UK,5163669,False,
227,To Moja Pieśń,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,5:06
228,Taniec Cieni,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,5:57
229,Skazani Na Ten Czas,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,4:37
230,Śnieżna Kula,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,4:48
231,Spóźniamy Się,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,5:38
232,Niewidziani,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,4:40
233,Tajemnicza Siła,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,CD,", Poland","BSP 01-04, BSP 18-10, BSP 08-15",True,5:07
234,Nad Brzegiem Tęczy,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,5:10
235,Doganiaj,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,4:12
236,Każdy Ma Swoją Tajemnicę,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,3:42
237,Wyścig Szczurów,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,3:23
238,Trochę Słabej Woli,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,3:30
239,Za Duża Konkurencja,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 08-15",True,4:20
240,Ballada Populistyczna,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,3:50
241,Breathing You,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,"CD, Cassette",", Poland","none, BSP 01-04, BSP 18-10, BSP 08-15",True,4:41
242,Dancing With Ghosts,Budka Suflera,Jest,"Budka Suflera Production, Budka Suflera Production (2)","0, 2010, 2004, 2015","Percussion, Producer",Rock,CD,", Poland","BSP 01-04, BSP 18-10, BSP 08-15",True,4:37
243,Za Duż Konkurencja,Budka Suflera,Jest,Budka Suflera Production,2010,,Rock,CD,Poland,BSP 18-10,False,4:20
244,Tajemnica Siła,Budka Suflera,Jest,Budka Suflera Production (2),0,,Rock,Cassette,Poland,none,False,5:07
245,BONUSY,Budka Suflera,Jest,Budka Suflera Production (2),0,,Rock,CD,,BSP 01-04,False,
246,Memu Miastu Na Do Widzenia 2004',Budka Suflera,Jest,Budka Suflera Production (2),0,,Rock,CD,,BSP 01-04,False,
247,Rock'N'Roll Na Dobry Początek,Budka Suflera,Jest,Budka Suflera Production (2),0,,Rock,CD,,BSP 01-04,False,
248, I Want You Back ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
249,ABC,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","Australia, US, China, Canada, UK & Ireland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, 517433",False,2:57
250,I'll Be There	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,
251, Got To Be There,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
252,I Wanna Be Where You Are ,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,2:57
253,Ben,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","Australia, US, China, Canada, UK & Ireland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, 517433",False,2:44
254,Dancing Machine (Single Version),Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD","US, China, Canada, UK & Ireland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, 517433",False,2:42
255,Enjoy Yourself ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
256,Ease On Down The Road,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","Australia, US, China, Canada, UK & Ireland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, 517433",False,3:19
257,"You Can't Win (From ""The Wiz"")",Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD","US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,7:17
258,Shake A Body (Early Demo),Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD, CDr","US, China, Canada, UK & Ireland, Poland, Japan, Europe","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517743 3, AE4K 92600, PRLP09-02, 517433",False,2:08
259, Shake Your Body (Down To The Ground),Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","none, E5K 92600, E5K 92600 0S, AE4K 92600",False,
260, Don't Stop 'Til You Get Enough,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
261,Rock With You	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,3:40
