,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,duration
514,Black Man ,Stevie Wonder,Songs In The Key Of Life,Motown,0,Keyboards,"Funk / Soul, Pop","Vinyl, Cassette, All Media, File, CD",", US, New Zealand, Canada, UK, Europe","3746303402, none, TC-TMSP 60022, MOTC 2-340, ZL72131(2), 530 034-2, OC 26258 261-3, STML 6137/8, 157 357-2, MOTC 2-340 V.1",True,
515,Ngiculela - Es Una Historia - I Am Singing ,Stevie Wonder,Songs In The Key Of Life,Motown,0,Keyboards,"Funk / Soul, Pop","Vinyl, CD, All Media, Cassette","US, New Zealand, Canada, UK, Europe","3746303402, TC-TMSP 60022, MOTC 2-340, 530 034-2, OC 26258 261-3, STML 6137/8, MOTC 2-340 V.1",True,
516,If It's Magic,Stevie Wonder,Songs In The Key Of Life,"Motown, Music For The People, Tamla, Top Tape, Union, Speakers Corner Records, Peacock (4), RC, Helicon Records, EMI Electrola, Motown Record Corporation, GMR, LLTH, Tamla Motown, Vogue, Diskoton, IMD (2), Motown (2), Audio Fidelity (3), IUKMUSIC, OK (3), CT (2), High Stereo Light, Universal Music","0, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1992, 1997, 2000, 2003, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018",Keyboards,Funk / Soul,"Vinyl, 8-Track Cartridge, Blu-ray, Cassette, All Media, File, CD, Box Set, SACD, Reel-To-Reel",", Taiwan, Greece, Germany, Singapore, New Zealand, India, UK, Thailand, Russia, Rhodesia, Europe, US, France, Venezuela, Spain, Panama, Mexico, UK & Europe, Italy, Portugal, Yugoslavia, Uruguay, South Africa, Netherlands, Turkey, France & Benelux, Guatemala, Singapore, Malaysia, Hong Kong & Thailand, Peru, Philippines, Canada, Poland, Japan, Israel, Scandinavia, Australia, Saudi Arabia, Ireland, South Korea, Brazil","C 168 97901, TI3-340C2, STML 60021/60022, STML 60021/STME 2020, T13-340-C2, TAM13340, T 340EP, VIP-1~3, DC 4/5, SUP 723 - SUP724, UICY-3069/70, 3746303404, UICY-90784/5, UIGY-9054, OK 302A, STML 6137/8, T15-34OEC, 001, UICY-78304/5, MOTD 7357, T 340-U2, 6115TD2, TDM-61151, R30M-1001~02, 878, 1C 290-98 264/5, STMA 7006/2, 728004, 012 157 357-4, UICY-3880/1, MOTC 2-340 V.1, TCD06115TD-2, TC-STMA 7006/1-2, IMD-7460, MOTC 2-340, TCD 6115, 80204885, 286.98264/65, 28.101 XD, VIP-1~2, 3746303402, 14C 166-98261/3, none, POCT-1812/3, AFZ 2 096, 157 382-2, 5C 154-97900/1, TCD 6115 Vol. 1, T340XC, 2J 166-98261/3, UICY-40044/5, 157 582-2, CSW 1/2, 06007 5303833, T-340 U2, 1C 190-97 900/01, 3C 264 98265, UICT-3007/8, SPL2-60061, 0600753164228, T13 340C2, ATMLP 26015, 2C 168-97900/1, TC-STML 6137/8, ZF72131, 2C 266-97901, POCT-1927/8, 5C 156-97900/1, T4-340/2, IM 46001, T15 340 EC, 012 157 357-2, ES 077, 157 357-2, ZD72131(2), MOWA-04, 2C 266-97900, UICY-20354/5, 3C 164-98261/63, 1A 158-97900, 0600753406403, GMR 875, TM-2333, 2C 168-97.900/1, OC 26258 261-3, 0C 262-98 261-3, CT 77, TC-TMSP 6002, LPLD 0292, STAMB-689, 2 C168-97900/1, LPS-88.732, 1C 290-98 265, UICY-9254/5, 28101 XD, MOT2-340, 0C 158-98 261-3, PCN-DIDX-108, 2 C 168-97900/1, 7 C 190-97900/01, 2C 266 97900, UICY-93936/7, TCD 6115 Vol. 2, T18-84062, 2-48.001/2, RMTL-1~3, ZL 72131(2), HX00602537004720, UICY-40214/15, PCN-DIDX-109, ●VIP-1~3, HD00602537004720, 8X-TMSP 6002, R12 6569, TMSP 6002, VIP-6364~5, ZD72131-1, 06007 531 642-2(8), T15-340-EC, ZL72131(2), ATMK 276015, L36062, 3-48.001/2, UICY-76030/1, 5C 158-97900/1, TC-TMSP 60022, T13-340, RMTL-1~2, T 13-340-C2, UIGY-9617, TAM2-340, 428003, T13-340C2, ZD72131-2, TD-1879-80, RC 2143, 28101 · XD, IM-46001, T-340U2, T13-00340, TMV 3704, 5C 286.98264/65, VDP-5001-2, 330·15·001, ZK 72131 (2), PROT-4002, 530 034-2, IM 46001-SN, 012 157 582-2",True,3:11
517,As,Stevie Wonder,Songs In The Key Of Life,"Motown, Music For The People, Tamla, Top Tape, Union, Speakers Corner Records, Peacock (4), RC, Helicon Records, EMI Electrola, Motown Record Corporation, LLTH, Lord, Tamla Motown, Vogue, Diskoton, IMD (2), Motown (2), Contessa, Audio Fidelity (3), IUKMUSIC, OK (3), CT (2), High Stereo Light, Universal Music","0, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1992, 1997, 2000, 2003, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018",Keyboards,Funk / Soul,"Vinyl, 8-Track Cartridge, Blu-ray, Cassette, All Media, File, CD, Box Set, SACD, Reel-To-Reel",", Taiwan, Greece, Germany, Singapore, New Zealand, India, UK, Thailand, Russia, Rhodesia, Europe, US, France, Venezuela, Spain, Panama, Mexico, UK & Europe, Italy, Portugal, Yugoslavia, Uruguay, South Africa, Indonesia, Netherlands, Turkey, France & Benelux, Guatemala, Singapore, Malaysia, Hong Kong & Thailand, Peru, Philippines, Canada, Poland, Japan, Israel, Scandinavia, Australia, Saudi Arabia, Ireland, South Korea, Brazil","C 168 97901, TI3-340C2, STML 60021/60022, STML 60021/STME 2020, T13-340-C2, TAM13340, T 340EP, VIP-1~3, DC 4/5, TET 15-340-1, SUP 723 - SUP724, UICY-3069/70, 3746303404, UICY-90784/5, UIGY-9054, OK 302A, STML 6137/8, T15-34OEC, 001, P115, UICY-78304/5, MOTD 7357, T 340-U2, 6115TD2, TDM-61151, R30M-1001~02, 878, 1C 290-98 264/5, STMA 7006/2, 728004, 012 157 357-4, UICY-3880/1, MOTC 2-340 V.1, TCD06115TD-2, TC-STMA 7006/1-2, IMD-7460, MOTC 2-340, TCD 6115, 80204885, 56344XW, 286.98264/65, 28.101 XD, VIP-1~2, 3746303402, XW-56342, 14C 166-98261/3, none, POCT-1812/3, AFZ 2 096, 157 382-2, 5C 154-97900/1, TCD 6115 Vol. 1, T340XC, T13-340/1, 2J 166-98261/3, UICY-40044/5, 157 582-2, T15-340-ET Vol. II, CSW 1/2, T-340XT, T-340 U2, 06007 5303833, 1C 190-97 900/01, 3C 264 98265, UICT-3007/8, SPL2-60061, 0600753164228, T13 340C2, ATMLP 26015, 2C 168-97900/1, TC-STML 6137/8, ZF72131, 2C 266-97901, POCT-1927/8, 5C 156-97900/1, T4-340/2, IM 46001, T15 340 EC, 012 157 357-2, ES 077, 157 357-2, ZD72131(2), MOWA-04, 2C 266-97900, UICY-20354/5, 3C 164-98261/63, 1A 158-97900, 0600753406403, TM-2333, 2C 168-97.900/1, OC 26258 261-3, 0C 262-98 261-3, CT 77, TC-TMSP 6002, LPLD 0292, T15-340-ET Vol. I, STAMB-689, 2 C168-97900/1, LPS-88.732, 1C 290-98 265, TAMC2-15340, UICY-9254/5, 28101 XD, MOT2-340, 0C 158-98 261-3, PCN-DIDX-108, 2 C 168-97900/1, 7 C 190-97900/01, 2C 266 97900, T13-340/2, UICY-93936/7, TCD 6115 Vol. 2, T18-84062, 2-48.001/2, RMTL-1~3, ZL 72131(2), HX00602537004720, UICY-40214/15, PCN-DIDX-109, ●VIP-1~3, HD00602537004720, 8X-TMSP 6002, R12 6569, TMSP 6002, VIP-6364~5, ZD72131-1, 06007 531 642-2(8), T15-340-EC, ZL72131(2), ATMK 276015, 622, T15-340-ET, L36062, 3-48.001/2, UICY-76030/1, 5C 158-97900/1, TC-TMSP 60022, L - 622, T13-340, RMTL-1~2, T 13-340-C2, XW-56343, UIGY-9617, TAM2-340, 428003, T13-340C2, ZD72131-2, TD-1879-80, TET 15-240-2, RC 2143, 28101 · XD, IM-46001, T-340U2, T13-00340, TMV 3704, 5C 286.98264/65, VDP-5001-2, 330·15·001, ZK 72131 (2), PROT-4002, 530 034-2, IM 46001-SN, 012 157 582-2",True,7:07
518,Another Star ,Stevie Wonder,Songs In The Key Of Life,"Motown, RC",0,Keyboards,"Funk / Soul, Pop","Vinyl, Cassette, All Media, File, CD",", US, New Zealand, Canada, Poland, UK, Europe","3746303402, none, TC-TMSP 60022, MOTC 2-340, ZL72131(2), RC 2143, 530 034-2, OC 26258 261-3, STML 6137/8, 157 357-2, MOTC 2-340 V.1",True,
519,A Something's Extra Bonus Record,Stevie Wonder,Songs In The Key Of Life,"Tamla Motown, Tamla, Motown, Top Tape","0, 1985, 1986, 2000, 2013, 1976, 1977, 1978, 1981",Keyboards,Funk / Soul,"Vinyl, All Media, CD, Cassette","US, Australia, Greece, France, Spain, New Zealand, UK & Europe, Italy, Uruguay, Europe, Ireland, UK, Japan, Israel, Brazil, Turkey","TMSP 6002, 3C 164-98261/63, TC-STMA 7006/1-2, STML 60021/60022, STML 60021/STME 2020, ZL72131(2), VIP-1~3, 2C 168-97.900/1, SUP 723 - SUP724, 28.101 XD, UICY-76030/1, STML 6137/8, 28101 XD, T13-340, RMTL-1~2, 2J 166-98261/3, MOT2-340, T13-340C2, 2 C 168-97900/1, 28101 · XD, T13-00340, 878, ZF72131, STMA 7006/2, RMTL-1~3, ZL 72131(2), 012 157 357-2",True,
520,Saturn,Stevie Wonder,Songs In The Key Of Life,"Motown, Music For The People, Tamla, Top Tape, Speakers Corner Records, Peacock (4), RC, Helicon Records, EMI Electrola, RC Company, Tamla Motown, Vogue, Diskoton, IMD (2), Motown (2), Contessa, Audio Fidelity (3), IUKMUSIC, Universal Music","0, 1976, 1977, 1978, 1979, 1980, 1981, 1983, 1984, 1985, 1986, 1992, 1997, 2000, 2003, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018","Keyboards, Musician, Keyboards",Funk / Soul,"Vinyl, 8-Track Cartridge, Blu-ray, Cassette, All Media, File, CD, Box Set, SACD, Reel-To-Reel",", Greece, Germany, New Zealand, India, UK, Thailand, Russia, Rhodesia, Europe, US, France, Spain, Panama, Mexico, UK & Europe, Italy, Portugal, Yugoslavia, Uruguay, South Africa, Netherlands, Turkey, France & Benelux, Singapore, Malaysia, Hong Kong & Thailand, Peru, Canada, Poland, Japan, Israel, Scandinavia, Australia, Saudi Arabia, Ireland, Brazil","C 168 97901, TI3-340C2, STML 60021/60022, STML 60021/STME 2020, T13-340-C2, TAM13340, T 340EP, VIP-1~3, DC 4/5, TET 15-340-1, SUP 723 - SUP724, UICY-3069/70, RC 2144, 3746303404, UICY-90784/5, UIGY-9054, STML 6137/8, T15-34OEC, P115, UICY-78304/5, MOTD 7357, T 340-U2, 6115TD2, T 340 EP, TDM-61151, R30M-1001~02, 878, 1C 290-98 264/5, STMA 7006/2, 728004, 012 157 357-4, UICY-3880/1, MOTC 2-340 V.1, TCD06115TD-2, IMD-7460, MOTC 2-340, TCD 6115, 80204885, 56344XW, 286.98264/65, 28.101 XD, VIP-1~2, 3746303402, XW-56342, 14C 166-98261/3, none, POCT-1812/3, AFZ 2 096, 157 382-2, 5C 154-97900/1, TCD 6115 Vol. 1, T340XC, T13-340/1, 2J 166-98261/3, UICY-40044/5, 157 582-2, T15-340-ET Vol. II, CSW 1/2, T-340XT, T-340 U2, 06007 5303833, 1C 190-97 900/01, 3C 264 98265, UICT-3007/8, SPL2-60061, 0600753164228, T13 340C2, ATMLP 26015, 2C 168-97900/1, TC-STML 6137/8, ZF72131, 2C 266-97901, POCT-1927/8, 5C 156-97900/1, T4-340/2, IM 46001, T15 340 EC, 012 157 357-2, ES 077, 157 357-2, ZD72131(2), 2C 266-97900, UICY-20354/5, 3C 164-98261/63, 1A 158-97900, 0600753406403, 2C 168-97.900/1, OC 26258 261-3, 0C 262-98 261-3, TC-TMSP 6002, LPLD 0292, T15-340-ET Vol. I, STAMB-689, 2 C168-97900/1, 1C 290-98 265, TAMC2-15340, UICY-9254/5, 28101 XD, MOT2-340, 0C 158-98 261-3, PCN-DIDX-108, 2 C 168-97900/1, 7 C 190-97900/01, 2C 266 97900, T13-340/2, UICY-93936/7, TCD 6115 Vol. 2, T18-84062, RMTL-1~3, ZL 72131(2), HX00602537004720, UICY-40214/15, ●VIP-1~3, HD00602537004720, 8X-TMSP 6002, R12 6569, TMSP 6002, VIP-6364~5, ZD72131-1, 06007 531 642-2(8), T15-340-EC, ZL72131(2), T15-340-ET, TC-TMSP 60022, UICY-76030/1, 5C 158-97900/1, T13-340, RMTL-1~2, T 13-340-C2, XW-56343, UIGY-9617, 428003, T13-340C2, ZD72131-2, TET 15-240-2, 28101 · XD, IM-46001, T-340U2, T13-00340, TMV 3704, 5C 286.98264/65, VDP-5001-2, 330·15·001, ZK 72131 (2), PROT-4002, 530 034-2, IM 46001-SN, 012 157 582-2",True,4:54
521,Ebony Eyes ,Stevie Wonder,Songs In The Key Of Life,"Motown, Motown (2), Music For The People, Lord, Tamla, Audio Fidelity (3), Top Tape, RC Company, Tamla Motown, IUKMUSIC, Vogue, Helicon Records, Speakers Corner Records, Diskoton, Universal Music, RC","0, 1976, 1977, 1978, 1979, 1980, 1981, 1983, 1984, 1985, 1986, 1992, 1997, 2000, 2003, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018",,"Funk / Soul, Pop","Vinyl, 8-Track Cartridge, Blu-ray, Cassette, All Media, File, CD, Box Set, SACD, Reel-To-Reel",", Germany, New Zealand, UK, Russia, Europe, US, France, Panama, Spain, Mexico, UK & Europe, Italy, Yugoslavia, Uruguay, Indonesia, Netherlands, France & Benelux, Turkey, Peru, Canada, Poland, Japan, Israel, Scandinavia, Australia, Brazil","C 168 97901, TI3-340C2, TAM13340, T13-340-C2, VIP-1~3, DC 4/5, TET 15-340-1, SUP 723 - SUP724, UICY-3069/70, RC 2144, 3746303404, UICY-90784/5, UIGY-9054, STML 6137/8, T15-34OEC, UICY-78304/5, MOTD 7357, T 340-U2, 6115TD2, T 340 EP, TDM-61151, R30M-1001~02, 878, 728004, 012 157 357-4, UICY-3880/1, MOTC 2-340 V.1, TCD06115TD-2, MOTC 2-340, TCD 6115, 80204885, VIP-1~2, 3746303402, none, POCT-1812/3, AFZ 2 096, 157 382-2, 5C 154-97900/1, TCD 6115 Vol. 1, T13-340/1, UICY-40044/5, 157 582-2, T15-340-ET Vol. II, CSW 1/2, T-340XT, 06007 5303833, 1C 190-97 900/01, UICT-3007/8, SPL2-60061, 0600753164228, T13 340C2, ATMLP 26015, ZF72131, 2C 266-97901, POCT-1927/8, T4-340/2, 012 157 357-2, T15 340 EC, 157 357-2, ZD72131(2), 2C 266-97900, UICY-20354/5, 3C 164-98261/63, 1A 158-97900, 0600753406403, OC 26258 261-3, 0C 262-98 261-3, TC-TMSP 6002, LPLD 0292, T15-340-ET Vol. I, STAMB-689, 1C 290-98 265, UICY-9254/5, MOT2-340, PCN-DIDX-108, 7 C 190-97900/01, T13-340/2, UICY-93936/7, TCD 6115 Vol. 2, T18-84062, RMTL-1~3, ZL 72131(2), HX00602537004720, UICY-40214/15, ●VIP-1~3, HD00602537004720, R12 6569, TMSP 6002, ZD72131-1, 06007 531 642-2(8), T15-340-EC, ZL72131(2), 622, T15-340-ET, TC-TMSP 60022, UICY-76030/1, 5C 158-97900/1, L - 622, RMTL-1~2, UIGY-9617, 428003, T13-340C2, ZD72131-2, TET 15-240-2, T-340U2, VDP-5001-2, 330·15·001, ZK 72131 (2), PROT-4002, 530 034-2, 012 157 582-2",False,4:10
522,All Day Sucker,Stevie Wonder,Songs In The Key Of Life,"Motown, Motown (2), Music For The People, Lord, Tamla, Top Tape, Audio Fidelity (3), RC Company, Tamla Motown, IUKMUSIC, Vogue, Helicon Records, EMI Electrola, Diskoton, Speakers Corner Records, Universal Music, RC","0, 1976, 1977, 1978, 1979, 1980, 1981, 1983, 1984, 1985, 1986, 1992, 1997, 2000, 2003, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018",Keyboards,Funk / Soul,"Vinyl, 8-Track Cartridge, Blu-ray, Cassette, All Media, File, CD, Box Set, SACD, Reel-To-Reel",", Greece, Germany, New Zealand, India, UK, Russia, Rhodesia, Europe, US, France, Spain, Panama, Mexico, UK & Europe, Italy, Portugal, Yugoslavia, Uruguay, South Africa, Indonesia, Netherlands, Turkey, France & Benelux, Singapore, Malaysia, Hong Kong & Thailand, Peru, Canada, Poland, Japan, Israel, Scandinavia, Australia, Ireland, Brazil","C 168 97901, TI3-340C2, STML 60021/60022, STML 60021/STME 2020, T13-340-C2, TAM13340, T 340EP, VIP-1~3, DC 4/5, TET 15-340-1, SUP 723 - SUP724, UICY-3069/70, RC 2144, 3746303404, UICY-90784/5, UIGY-9054, STML 6137/8, T15-34OEC, UICY-78304/5, MOTD 7357, T 340-U2, 6115TD2, T 340 EP, TDM-61151, R30M-1001~02, 878, 1C 290-98 264/5, STMA 7006/2, 728004, 012 157 357-4, UICY-3880/1, MOTC 2-340 V.1, TCD06115TD-2, TC-STMA 7006/1-2, MOTC 2-340, TCD 6115, 80204885, 56344XW, 286.98264/65, 28.101 XD, VIP-1~2, 3746303402, XW-56342, 14C 166-98261/3, none, POCT-1812/3, AFZ 2 096, 157 382-2, 5C 154-97900/1, TCD 6115 Vol. 1, T340XC, T13-340/1, 2J 166-98261/3, UICY-40044/5, 157 582-2, T15-340-ET Vol. II, CSW 1/2, T-340XT, T-340 U2, 06007 5303833, 1C 190-97 900/01, 3C 264 98265, UICT-3007/8, SPL2-60061, 0600753164228, T13 340C2, ATMLP 26015, 2C 168-97900/1, TC-STML 6137/8, ZF72131, 2C 266-97901, POCT-1927/8, 5C 156-97900/1, T4-340/2, IM 46001, T15 340 EC, 012 157 357-2, 157 357-2, ZD72131(2), 2C 266-97900, UICY-20354/5, 3C 164-98261/63, 1A 158-97900, 0600753406403, 2C 168-97.900/1, OC 26258 261-3, 0C 262-98 261-3, TC-TMSP 6002, LPLD 0292, T15-340-ET Vol. I, STAMB-689, 2 C168-97900/1, TAMC2-15340, UICY-9254/5, 28101 XD, MOT2-340, 0C 158-98 261-3, PCN-DIDX-108, 2 C 168-97900/1, 7 C 190-97900/01, T13-340/2, UICY-93936/7, TCD 6115 Vol. 2, T18-84062, RMTL-1~3, ZL 72131(2), HX00602537004720, UICY-40214/15, PCN-DIDX-109, ●VIP-1~3, HD00602537004720, 8X-TMSP 6002, R12 6569, TMSP 6002, VIP-6364~5, ZD72131-1, 06007 531 642-2(8), T15-340-EC, ZL72131(2), 622, T15-340-ET, TC-TMSP 60022, UICY-76030/1, 5C 158-97900/1, L - 622, T13-340, RMTL-1~2, T 13-340-C2, XW-56343, UIGY-9617, 428003, T13-340C2, ZD72131-2, TET 15-240-2, 28101 · XD, IM-46001, T-340U2, T13-00340, TMV 3704, 5C 286.98264/65, VDP-5001-2, 330·15·001, ZK 72131 (2), PROT-4002, 530 034-2, IM 46001-SN, 012 157 582-2",True,5:06
523,Easy Goin' Evening (My Mama's Call),Stevie Wonder,Songs In The Key Of Life,"Motown, Motown (2), Music For The People, Tamla, Top Tape, Audio Fidelity (3), Tamla Motown, IUKMUSIC, Vogue, Helicon Records, Speakers Corner Records, Diskoton, Universal Music","0, 1976, 1977, 1978, 1979, 1980, 1981, 1984, 1985, 1986, 1992, 1997, 2000, 2003, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2016, 2017, 2018",Keyboards,Funk / Soul,"Vinyl, 8-Track Cartridge, Blu-ray, Cassette, All Media, File, CD, Box Set, Reel-To-Reel",", Greece, Germany, New Zealand, India, UK, Russia, Europe, US, France, Spain, Panama, Mexico, UK & Europe, Italy, Portugal, Yugoslavia, Uruguay, Netherlands, Turkey, France & Benelux, Singapore, Malaysia, Hong Kong & Thailand, Peru, Canada, Japan, Israel, Scandinavia, Australia, Ireland, Brazil","TI3-340C2, STML 60021/60022, STML 60021/STME 2020, T13-340-C2, TAM13340, T 340EP, VIP-1~3, TET 15-340-1, SUP 723 - SUP724, UICY-3069/70, 3746303404, UICY-90784/5, STML 6137/8, T15-34OEC, UICY-78304/5, MOTD 7357, T 340-U2, 6115TD2, TDM-61151, R30M-1001~02, 878, STMA 7006/2, 728004, 012 157 357-4, UICY-3880/1, MOTC 2-340 V.1, TCD06115TD-2, TC-STMA 7006/1-2, MOTC 2-340, TCD 6115, 80204885, 56344XW, 286.98264/65, VIP-1~2, 3746303402, XW-56342, 14C 166-98261/3, none, POCT-1812/3, AFZ 2 096, 157 382-2, 5C 154-97900/1, TCD 6115 Vol. 1, T340XC, T13-340/1, 2J 166-98261/3, UICY-40044/5, 157 582-2, T15-340-ET Vol. II, CSW 1/2, T-340XT, T-340 U2, 06007 5303833, 1C 190-97 900/01, 3C 264 98265, UICT-3007/8, 0600753164228, T13 340C2, ATMLP 26015, 2C 168-97900/1, TC-STML 6137/8, ZF72131, 2C 266-97901, POCT-1927/8, 5C 156-97900/1, T4-340/2, IM 46001, T15 340 EC, 012 157 357-2, 157 357-2, ZD72131(2), 2C 266-97900, UICY-20354/5, 3C 164-98261/63, 1A 158-97900, 0600753406403, OC 26258 261-3, 0C 262-98 261-3, TC-TMSP 6002, LPLD 0292, T15-340-ET Vol. I, STAMB-689, 2 C168-97900/1, 1C 290-98 265, TAMC2-15340, UICY-9254/5, 28101 XD, MOT2-340, 0C 158-98 261-3, PCN-DIDX-108, 7 C 190-97900/01, T13-340/2, UICY-93936/7, TCD 6115 Vol. 2, T18-84062, RMTL-1~3, ZL 72131(2), HX00602537004720, UICY-40214/15, PCN-DIDX-109, ●VIP-1~3, HD00602537004720, 8X-TMSP 6002, R12 6569, TMSP 6002, VIP-6364~5, ZD72131-1, 06007 531 642-2(8), T15-340-EC, ZL72131(2), T15-340-ET, TC-TMSP 60022, UICY-76030/1, 5C 158-97900/1, T13-340, RMTL-1~2, T 13-340-C2, XW-56343, 428003, T13-340C2, ZD72131-2, TET 15-240-2, 28101 · XD, IM-46001, T-340U2, T13-00340, 5C 286.98264/65, VDP-5001-2, 330·15·001, ZK 72131 (2), PROT-4002, 530 034-2, IM 46001-SN, 012 157 582-2",True,3:58
524,A Something's Extra (Bonus Record),Stevie Wonder,Songs In The Key Of Life,"Tamla, Motown","1976, 0, 1981",,Funk / Soul,"Vinyl, All Media","US, Germany","330·15·001, T13-340C2, 1C 190-97 900/01",False,
525,Ngiculela - Es Una Historia I Am Singing,Stevie Wonder,Songs In The Key Of Life,"Tamla, IMD (2)","1976, 0",,Funk / Soul,"CD, Cassette","US, Saudi Arabia","IMD-7460, TCD06115TD-2, PCN-DIDX-108, PCN-DIDX-109",False,
526,"A Something's Extra For ""Songs In The Key Of Life""",Stevie Wonder,Songs In The Key Of Life,"Tamla, Motown","1976, 1979, 1980",,Funk / Soul,"Vinyl, All Media","US, Canada","T-340U2, T13-340C2, T-340 U2, T 340-U2",False,
527,Ngiculela ― Es Una Historia ― I Am Singing,Stevie Wonder,Songs In The Key Of Life,"Tamla, Motown, Top Tape","1976, 0",,Funk / Soul,"8-Track Cartridge, Cassette","US, Spain, Italy, Canada, Brazil","XW-56343, XW-56342, T15-340-ET Vol. II, T-340XT, T15-340-ET Vol. I, T15-340-EC, 3C 264 98265, TET 15-240-2, T15-340-ET, 56344XW, T13-340/1, TET 15-340-1, TAMC2-15340, T13-340/2",False,
528,It It's Magic,Stevie Wonder,Songs In The Key Of Life,"Tamla, Motown, Top Tape","1976, 0",,Funk / Soul,"8-Track Cartridge, Cassette","US, Canada, Spain, Brazil","XW-56343, XW-56342, T15-340-ET Vol. II, T-340XT, T15-340-ET Vol. I, T15-340-EC, TET 15-240-2, T15-340-ET, 56344XW, T13-340/1, TET 15-340-1, TAMC2-15340, T13-340/2",False,
529,A Something's Extra:,Stevie Wonder,Songs In The Key Of Life,"Tamla, Motown, Top Tape","1976, 0, 1979",,Funk / Soul,"8-Track Cartridge, Cassette, Reel-To-Reel","US, Brazil, Canada, Spain","XW-56343, XW-56342, T15-340-ET Vol. II, R12 6569, T-340XT, T15-340-ET Vol. I, T15-340-EC, TET 15-240-2, T4-340/2, T15-340-ET, 56344XW, T340XC, T13-340/1, TET 15-340-1, TAMC2-15340, T13-340/2",False,
530,-,Stevie Wonder,Songs In The Key Of Life,"Tamla, Motown, Top Tape","1976, 0, 1979",,Funk / Soul,"8-Track Cartridge, Cassette","US, Brazil, Canada, Spain","XW-56343, XW-56342, T-340XT, T15-340-EC, TET 15-240-2, T4-340/2, T15-340-ET, 56344XW, T340XC, T13-340/1, TET 15-340-1, TAMC2-15340, T13-340/2",False,
531,A Something's Extra,Stevie Wonder,Songs In The Key Of Life,"Tamla Motown, Tamla, Motown","1976, 2009, 2017, 0",,Funk / Soul,"Vinyl, All Media, Cassette","US, Greece, New Zealand, India, UK, Europe","TI3-340C2, TC-STML 6137/8, TMSP 6002, 14C 166-98261/3, 0C 158-98 261-3, 06007 531 642-2(8), TAM13340, T15-340-EC, T15 340 EC, T15-34OEC, 0600753164228",False,
532,A Something's Extra For Songs In The Key Of Life,Stevie Wonder,Songs In The Key Of Life,Tamla,1976,,Funk / Soul,"Vinyl, All Media",US,"T13-00340, T13-340C2",False,
533,Easy Goin' Evening,Stevie Wonder,Songs In The Key Of Life,"Motown, Tamla, RC Company, Tamla Motown, RC","1976, 0",,Funk / Soul,"Vinyl, All Media, Cassette","Spain, South Africa, Rhodesia, Poland","TMV 3704, 28.101 XD, RC 2144",False,3:58
534,"A Somethings Extra Bonus Record For ""Songs In The Key Of Life""",Stevie Wonder,Songs In The Key Of Life,Motown,1976,,Funk / Soul,Vinyl,Portugal,"IM-46001, IM 46001-SN",False,
535,Pastime Paradies,Stevie Wonder,Songs In The Key Of Life,Motown,1976,,Funk / Soul,Vinyl,Portugal,IM 46001,False,
536,Easyn Goin' Evening (My Mama's Call),Stevie Wonder,Songs In The Key Of Life,"EMI Electrola, Motown","1976, 0",,Funk / Soul,Cassette,"Germany, Europe","ZK 72131 (2), 1C 290-98 264/5",False,3:58
537,Love's In Need,Stevie Wonder,Songs In The Key Of Life,LLTH,1976,,Funk / Soul,Cassette,,L36062,False,
538,El Amor Necesita Amor Hoy (Love's In Need Of Love Today),Stevie Wonder,Songs In The Key Of Life,Tamla Motown,1976,Keyboards,Funk / Soul,Vinyl,Argentina,"SUP 723, SUP 724, 6430",True,7:05
539,Habla Con Dios (Have A Talk With God),Stevie Wonder,Songs In The Key Of Life,Tamla Motown,1976,Keyboards,Funk / Soul,Vinyl,Argentina,"SUP 723, SUP 724, 6430",True,2:42
540,Tierra Del Ghetto (Village Ghetto Land),Stevie Wonder,Songs In The Key Of Life,Tamla Motown,1976,Keyboards,Funk / Soul,Vinyl,Argentina,"SUP 723, SUP 724, 6430",True,3:25
541,Ojala - Yo Deseo (I Wish),Stevie Wonder,Songs In The Key Of Life,Tamla Motown,1976,Keyboards,Funk / Soul,Vinyl,Argentina,"SUP 723, SUP 724, 6430",True,4:12
542,Me Voltea (Knocks Me Off My Feet),Stevie Wonder,Songs In The Key Of Life,Tamla Motown,1976,Keyboards,Funk / Soul,Vinyl,Argentina,"SUP 723, SUP 724, 6430",True,3:35
543,Paraiso De Antaño (Pastime Paradise),Stevie Wonder,Songs In The Key Of Life,Tamla Motown,1976,Keyboards,Funk / Soul,Vinyl,Argentina,"SUP 723, SUP 724, 6430",True,3:20
